year,tos
1850,0.7000471
1851,0.8076155
1852,0.72670764
1853,0.6921434
1854,0.816884
1855,0.7501056
1856,0.6689398
1857,0.6941425
1858,0.73168415
1859,0.680887
1860,0.75925785
1861,0.6212158
1862,0.5553971
1863,0.73920393
1864,0.6924482
1865,0.77215385
1866,0.878711
1867,0.79532075
1868,0.72024673
1869,0.6577686
1870,0.61079544
1871,0.6387264
1872,0.69144464
1873,0.6869357
1874,0.7007334
1875,0.697321
1876,0.6551791
1877,0.6851445
1878,0.6861081
1879,0.6276645
1880,0.53833175
1881,0.6666875
1882,0.6730508
1883,0.6188902
1884,0.4301108
1885,0.41861165
1886,0.49020875
1887,0.4951603
1888,0.44588912
1889,0.47538567
1890,0.49618122
1891,0.4597858
1892,0.49045202
1893,0.59704953
1894,0.56798357
1895,0.5223462
1896,0.49231735
1897,0.46559334
1898,0.5378655
1899,0.5739669
1900,0.6276823
1901,0.6426166
1902,0.6443106
1903,0.6438417
1904,0.6220657
1905,0.5059719
1906,0.54401475
1907,0.48270023
1908,0.41108653
1909,0.47148156
1910,0.51344824
1911,0.5095324
1912,0.52928036
1913,0.5631585
1914,0.58844846
1915,0.61309767
1916,0.609688
1917,0.7194076
1918,0.6151231
1919,0.54662365
1920,0.5734287
1921,0.6147876
1922,0.62927806
1923,0.5120257
1924,0.4427743
1925,0.5046783
1926,0.5821498
1927,0.5897266
1928,0.61466175
1929,0.49054763
1930,0.56768656
1931,0.60326105
1932,0.5902901
1933,0.56491035
1934,0.5402551
1935,0.56740445
1936,0.52665997
1937,0.6277129
1938,0.6687737
1939,0.7703758
1940,0.77026826
1941,0.74049145
1942,0.6645025
1943,0.6773155
1944,0.60478705
1945,0.59415585
1946,0.5501258
1947,0.5094702
1948,0.615179
1949,0.73025984
1950,0.7612655
1951,0.77665305
1952,0.799294
1953,0.6807034
1954,0.7593618
1955,0.7364774
1956,0.6370318
1957,0.5624365
1958,0.5924123
1959,0.63812584
1960,0.59514695
1961,0.610984
1962,0.5674482
1963,0.6121771
1964,0.5184887
1965,0.43089807
1966,0.38454401
1967,0.38907778
1968,0.42228565
1969,0.24350609
1970,0.2434233
1971,0.2622278
1972,0.37321934
1973,0.3811349
1974,0.5837292
1975,0.591749
1976,0.70461136
1977,0.6139323
1978,0.6623529
1979,0.58448535
1980,0.60246927
1981,0.658229
1982,0.6383005
1983,0.58382076
1984,0.5376489
1985,0.5491784
1986,0.50206846
1987,0.45346344
1988,0.43328264
1989,0.5447632
1990,0.74342877
1991,0.79210216
1992,0.7828694
1993,0.74308586
1994,0.7386264
1995,0.9566264
1996,0.88434416
1997,0.9181971
1998,0.7818699
1999,0.7466875
2000,0.73713344
2001,0.66575664
2002,0.7400513
2003,0.78586364
2004,0.86267495
2005,0.88730574
2006,0.8724146
2007,0.97761863
2008,0.83445996
2009,0.9253137
2010,0.8376777
2011,0.78630424
2012,0.6554987
2013,0.7375295
2014,0.77643275
2015,0.96048194
2016,1.0033284
2017,0.98151034
2018,0.9216272
2019,0.8730692
2020,0.8809669
2021,0.85118026
2022,0.90787154
2023,0.91968375
2024,0.990416
2025,0.9005053
2026,0.92845434
2027,0.8445394
2028,0.75853753
2029,0.8330548
2030,0.7648904
2031,0.8482039
2032,0.80851847
2033,0.90286607
2034,0.9564609
2035,1.0976555
2036,0.940536
2037,1.0275899
2038,0.89461374
2039,0.9968765
2040,1.1367851
2041,1.0767007
2042,1.1566241
2043,1.0365251
2044,1.1118385
2045,1.073857
2046,1.0803374
2047,1.2026739
2048,1.193054
2049,1.1442556
2050,1.1320151
2051,1.0038321
2052,1.1727341
2053,1.3138055
2054,1.2346579
2055,1.0255079
2056,1.0408088
2057,1.0552653
2058,1.2004187
2059,1.352053
2060,1.2060591
2061,1.262982
2062,1.3099548
2063,1.4870104
2064,1.3371
2065,1.3727893
2066,1.5169888
2067,1.4122887
2068,1.5064849
2069,1.5372206
2070,1.5366707
2071,1.4005288
2072,1.5049452
2073,1.5786037
2074,1.4906678
2075,1.3436189
2076,1.5828017
2077,1.6157955
2078,1.7041985
2079,1.6726928
2080,1.8207089
2081,1.9411993
2082,2.017247
2083,2.1084092
2084,2.186721
2085,2.0525334
2086,2.25173
2087,2.3245444
2088,2.406977
2089,2.418895
2090,2.4880292
2091,2.2595906
2092,2.044832
2093,2.2776687
2094,2.243481
2095,2.297452
2096,2.3906128
2097,2.4766924
2098,2.6927726
2099,2.9267886
