year,siarean
1850,11.325597
1851,11.047202
1852,11.177764
1853,11.171661
1854,10.973987
1855,10.9695635
1856,11.433968
1857,11.42372
1858,11.359912
1859,11.222774
1860,11.085876
1861,11.275115
1862,11.47507
1863,11.2552
1864,11.119625
1865,10.813573
1866,10.588623
1867,10.995463
1868,11.123876
1869,11.237554
1870,11.536008
1871,11.516731
1872,11.39066
1873,11.188754
1874,11.164521
1875,11.387769
1876,11.30262
1877,11.478225
1878,11.299317
1879,11.314275
1880,11.601218
1881,11.310065
1882,11.381495
1883,11.344861
1884,11.600105
1885,11.852336
1886,11.407573
1887,11.657882
1888,11.715432
1889,11.820152
1890,11.703067
1891,11.850339
1892,11.738681
1893,11.614896
1894,11.445747
1895,11.583588
1896,11.673534
1897,11.820071
1898,11.608765
1899,11.464795
1900,11.528297
1901,11.394142
1902,11.310928
1903,11.462277
1904,11.481511
1905,11.529731
1906,11.467769
1907,11.667867
1908,11.912262
1909,11.961741
1910,11.747215
1911,11.983097
1912,11.780118
1913,11.554929
1914,11.3773985
1915,11.299835
1916,11.387034
1917,11.125798
1918,11.453674
1919,11.536077
1920,11.62215
1921,11.786603
1922,11.654689
1923,11.779878
1924,12.037427
1925,11.993816
1926,11.665208
1927,11.525665
1928,11.226151
1929,11.479744
1930,11.365166
1931,11.579639
1932,11.511804
1933,11.405377
1934,11.67009
1935,11.560341
1936,11.500778
1937,11.217832
1938,11.2267275
1939,11.066031
1940,11.055135
1941,11.12836
1942,11.213687
1943,11.166817
1944,11.203664
1945,11.509173
1946,11.414594
1947,11.585552
1948,11.504054
1949,10.929517
1950,10.849973
1951,10.894325
1952,10.708832
1953,11.102094
1954,10.996076
1955,11.042216
1956,11.373889
1957,11.589532
1958,11.458518
1959,11.380845
1960,11.559871
1961,11.514371
1962,11.441368
1963,11.286128
1964,11.481542
1965,11.815867
1966,12.088906
1967,11.985124
1968,11.692936
1969,11.970039
1970,11.854299
1971,11.795918
1972,11.748891
1973,11.783591
1974,11.558644
1975,11.514839
1976,11.279648
1977,11.240848
1978,11.190227
1979,11.425842
1980,11.479102
1981,11.3387985
1982,11.1344795
1983,11.2812605
1984,11.509847
1985,11.416188
1986,11.447522
1987,11.456368
1988,11.455783
1989,11.2834215
1990,10.905963
1991,10.943059
1992,10.919037
1993,11.052741
1994,11.064728
1995,10.668061
1996,10.808952
1997,10.85296
1998,11.076542
1999,11.08459
2000,10.887904
2001,11.090991
2002,10.79176
2003,10.7842455
2004,10.712842
2005,10.707974
2006,10.677661
2007,10.607596
2008,10.762076
2009,10.598862
2010,10.770192
2011,10.744897
2012,11.022178
2013,10.92503
2014,10.780266
2015,10.306351
2016,10.407451
2017,10.416705
2018,10.717069
2019,10.680078
2020,10.865245
2021,10.837964
2022,10.705032
2023,10.412066
2024,10.253512
2025,10.456159
2026,10.496229
2027,10.554625
2028,10.636657
2029,10.658877
2030,10.607472
2031,10.607621
2032,10.806811
2033,10.712441
2034,10.344456
2035,10.164887
2036,10.364892
2037,10.228364
2038,10.191241
2039,10.067432
2040,10.097283
2041,10.082149
2042,9.863422
2043,9.970311
2044,9.816302
2045,9.826194
2046,9.768073
2047,9.67427
2048,9.826844
2049,9.656063
2050,9.571301
2051,9.956569
2052,9.254155
2053,9.184686
2054,9.476941
2055,9.721475
2056,9.905426
2057,9.743144
2058,9.39112
2059,8.987132
2060,9.315612
2061,9.10712
2062,9.008472
2063,8.5760145
2064,8.846255
2065,8.786749
2066,8.368278
2067,8.511753
2068,8.083704
2069,8.355337
2070,8.229705
2071,8.295308
2072,7.875915
2073,7.748256
2074,8.006105
2075,8.420077
2076,8.005407
2077,7.667684
2078,7.4997406
2079,7.462807
2080,7.351146
2081,7.2631984
2082,6.8856635
2083,6.6969056
2084,6.6477895
2085,6.8169537
2086,6.360066
2087,6.3108506
2088,6.073956
2089,6.0676003
2090,6.0522237
2091,6.5514426
2092,6.8070245
2093,6.429701
2094,6.3889694
2095,6.3771033
2096,6.0627246
2097,6.1493344
2098,5.692888
2099,5.248956
2100,5.02665
